Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Speed of maximum wind gust (km/h),9am Temperature (°C),9am relative humidity (%),9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm wind speed (km/h),3pm MSL pressure (hPa),Demand (MW),Minimum temperature (°C)_MA_24,Maximum temperature (°C)_MA_24,Rainfall (mm)_MA_24,Speed of maximum wind gust (km/h)_MA_24,9am Temperature (°C)_MA_24,9am relative humidity (%)_MA_24,9am wind speed (km/h)_MA_24,9am MSL pressure (hPa)_MA_24,3pm Temperature (°C)_MA_24,3pm relative humidity (%)_MA_24,3pm wind speed (km/h)_MA_24,3pm MSL pressure (hPa)_MA_24,Price_MA_24,Demand_MA_24
2023-01-04,15.0,18.7,0.0,52.0,15.6,62,13,1010.7,16.0,76.0,22.0,1011.2,193968.21,14.437499999999998,24.84166666666667,1.8583333333333336,36.04166666666666,18.554166666666667,65.0,10.166666666666666,1014.4916666666671,22.15833333333332,55.16666666666666,14.208333333333336,1013.1041666666664,-0.4433333333333322,4665.931250000002
2023-01-05,14.1,21.6,1.0,39.0,18.4,66,13,1014.9,20.8,65.0,15.0,1014.3,186610.74,14.545833333333333,25.02083333333334,1.1750000000000005,35.833333333333336,18.795833333333327,64.25,10.333333333333334,1015.0708333333338,22.35833333333332,55.41666666666666,13.916666666666664,1013.6124999999997,-3.2741666666666656,4652.325416666669
2023-01-06,13.3,25.6,0.0,37.0,18.4,65,15,1017.7,25.4,39.0,17.0,1015.0,181070.73,14.616666666666665,25.34166666666667,1.0416666666666672,35.541666666666664,18.970833333333328,64.625,10.333333333333334,1015.4458333333338,22.90833333333332,53.45833333333334,14.083333333333336,1013.9041666666664,-5.9658333333333315,4639.721250000002
2023-01-07,13.2,30.2,0.0,28.0,18.5,66,9,1015.1,28.8,34.0,11.0,1011.4,188176.06,14.791666666666664,25.94166666666668,0.7833333333333338,34.625,19.170833333333327,64.70833333333333,9.916666666666666,1015.5250000000003,23.59166666666665,51.66666666666666,13.75,1013.7333333333332,-8.46583333333333,4640.545416666669
2023-01-08,14.9,31.9,0.0,24.0,20.3,67,4,1012.7,30.0,28.0,11.0,1010.7,208007.24,14.949999999999996,26.57916666666668,0.6416666666666672,34.0,19.4,65.08333333333333,9.625,1015.3458333333338,24.187499999999986,50.45833333333334,13.583333333333336,1013.4916666666664,-11.005416666666667,4637.260000000002
2023-01-09,18.4,26.2,0.0,37.0,24.3,46,6,1011.9,21.2,75.0,17.0,1013.3,227748.97,15.26666666666666,26.82500000000001,0.6416666666666672,34.083333333333336,19.758333333333333,64.58333333333333,9.416666666666666,1015.0333333333338,24.270833333333314,51.625,13.75,1013.2541666666664,-13.30625,4635.187083333335
2023-01-10,16.9,21.6,0.0,35.0,17.4,66,9,1016.4,20.7,63.0,15.0,1013.8,210871.26,15.51666666666666,26.79583333333335,0.6333333333333339,33.833333333333336,19.795833333333327,64.79166666666667,9.166666666666666,1014.7583333333338,24.24166666666665,52.41666666666666,13.583333333333336,1012.9374999999997,-15.837083333333332,4622.350000000002
2023-01-11,15.9,29.9,0.0,28.0,20.4,71,6,1011.4,27.9,49.0,13.0,1008.6,247335.97,15.691666666666661,27.054166666666678,0.6333333333333339,33.458333333333336,19.95833333333333,65.5,8.791666666666666,1014.1958333333338,24.46249999999998,52.75,13.416666666666664,1012.395833333333,-18.341666666666665,4611.923750000003
2023-01-12,18.7,24.0,0.0,28.0,18.7,87,7,1014.0,22.9,73.0,13.0,1013.9,240161.45,16.062499999999993,26.970833333333346,0.6333333333333339,33.25,20.045833333333327,66.33333333333333,8.916666666666666,1013.7166666666672,24.48333333333332,54.16666666666666,13.25,1012.0458333333332,-20.868333333333332,4597.158750000002
2023-01-13,18.0,24.2,0.0,31.0,20.4,76,6,1017.1,23.3,70.0,15.0,1015.5,240859.26,16.387499999999992,26.841666666666683,0.6333333333333339,33.25,20.212499999999995,66.83333333333333,8.875,1013.5125000000003,24.35833333333332,55.75,13.25,1011.9583333333333,-23.25833333333333,4592.408750000002
2023-01-14,20.2,37.6,0.0,43.0,23.3,75,6,1012.8,35.4,26.0,15.0,1007.4,260914.15,16.69166666666666,27.183333333333348,0.6333333333333339,33.791666666666664,20.425,67.29166666666667,8.833333333333334,1013.4083333333338,24.658333333333317,55.70833333333334,13.416666666666664,1011.7833333333333,-25.58791666666666,4586.819583333335
2023-01-15,18.0,20.6,0.0,35.0,18.4,72,13,1018.1,20.3,58.0,15.0,1019.7,192223.53,16.74166666666666,26.991666666666685,0.4166666666666671,34.166666666666664,20.466666666666665,66.5,9.125,1013.6791666666671,24.608333333333306,54.70833333333334,13.875,1012.25,-27.415416666666662,4596.427083333335
2023-01-16,15.1,27.0,0.0,24.0,16.4,72,9,1019.5,25.2,50.0,15.0,1017.1,234738.93,16.71666666666666,27.154166666666683,0.3500000000000005,34.0,20.391666666666666,65.45833333333333,9.333333333333334,1014.0041666666672,24.816666666666645,53.625,13.958333333333336,1012.5583333333333,-28.767083333333332,4619.804583333335
2023-01-17,16.3,37.2,0.0,48.0,26.3,54,20,1015.3,35.6,31.0,20.0,1009.8,291349.26,16.699999999999996,27.72500000000002,0.3500000000000005,34.708333333333336,20.7,64.95833333333333,9.791666666666666,1014.154166666667,25.399999999999977,52.70833333333334,14.25,1012.5166666666664,-30.032916666666665,4663.100416666668
2023-01-18,19.8,19.9,6.0,41.0,19.9,94,9,1010.9,16.7,85.0,15.0,1012.6,240002.28,16.987499999999994,27.22500000000002,0.6000000000000004,35.416666666666664,20.716666666666665,66.125,9.875,1014.0625000000003,24.833333333333314,54.95833333333334,14.416666666666664,1012.5291666666666,-30.062083333333334,4714.615000000002
2023-01-19,14.7,19.3,4.6,41.0,16.3,56,15,1016.8,17.5,53.0,17.0,1016.7,200637.69,16.891666666666662,26.88333333333335,0.7916666666666671,35.958333333333336,20.454166666666666,66.04166666666667,10.041666666666666,1014.0708333333338,24.57916666666665,54.375,14.583333333333336,1012.5333333333333,-26.030416666666667,4772.7695833333355
2023-01-20,15.5,21.0,0.0,35.0,17.5,50,9,1017.8,20.3,49.0,13.0,1016.0,197555.26,16.799999999999994,26.204166666666683,0.7916666666666671,36.04166666666666,20.137499999999992,65.54166666666667,10.125,1014.0583333333337,23.904166666666647,55.33333333333334,14.5,1012.6541666666667,-23.22791666666667,4830.960416666669
2023-01-21,13.8,23.0,0.0,43.0,17.2,76,2,1016.3,22.1,66.0,15.0,1014.2,186481.47,16.333333333333332,26.012500000000014,0.7916666666666671,35.916666666666664,19.70416666666666,66.95833333333333,9.833333333333334,1014.3958333333337,24.074999999999974,55.125,14.583333333333336,1012.6875,-21.099583333333335,4883.509166666669
2023-01-22,17.2,23.4,0.0,35.0,20.0,72,9,1017.1,22.6,70.0,20.0,1015.1,188528.09,16.466666666666665,26.183333333333348,0.7583333333333337,36.0,19.87916666666666,67.54166666666667,9.5,1014.3166666666672,24.249999999999986,55.75,14.875,1012.5875,-21.442916666666672,4917.990833333336
2023-01-23,18.2,28.0,0.0,24.0,20.1,69,7,1016.1,26.3,46.0,11.0,1012.7,231855.18,16.699999999999996,26.25833333333335,0.7583333333333337,35.75,19.958333333333325,67.5,9.625,1014.3250000000003,24.30416666666665,55.5,14.875,1012.5958333333333,-22.892916666666668,4933.8025000000025
2023-01-24,17.6,28.6,0.0,41.0,20.4,66,7,1011.8,28.4,36.0,9.0,1009.2,240638.0,16.687499999999996,26.187500000000014,0.7583333333333337,36.208333333333336,19.949999999999992,67.0,9.75,1014.2208333333336,24.345833333333317,54.75,14.791666666666664,1012.5458333333332,-21.190416666666668,4936.7800000000025
2023-01-25,17.2,30.0,1.8,35.0,20.3,77,7,1012.1,27.6,50.0,7.0,1009.2,238172.9,16.6375,25.941666666666695,0.8333333333333338,36.375,19.770833333333325,67.5,9.75,1014.2750000000003,24.02499999999998,55.41666666666666,14.625,1012.6208333333333,-17.07041666666667,4941.112083333336
2023-01-26,15.9,21.6,0.0,35.0,18.4,69,9,1015.7,21.2,56.0,15.0,1016.2,196419.8,16.379166666666666,25.508333333333354,0.5666666666666671,35.666666666666664,19.34583333333332,68.41666666666667,9.208333333333334,1014.6833333333336,24.02916666666665,54.41666666666666,14.708333333333336,1013.0208333333335,-15.110833333333337,4963.004583333336
2023-01-27,13.5,26.8,0.0,24.0,17.1,59,9,1016.3,24.2,45.0,11.0,1012.9,212778.11,16.30833333333333,25.745833333333348,0.5583333333333338,35.125,19.333333333333325,68.04166666666667,9.125,1014.9375,24.18333333333332,53.875,14.458333333333336,1013.1875,-14.13166666666667,4986.202500000002
2023-01-28,15.2,34.2,0.0,43.0,25.5,32,11,1007.8,33.6,18.0,11.0,1006.7,226850.46,16.316666666666666,26.391666666666683,0.5583333333333338,34.75,19.745833333333326,66.79166666666667,9.041666666666666,1014.8166666666667,24.91666666666665,51.45833333333334,14.0,1013.0,-9.278333333333336,5016.275833333336
2023-01-29,19.5,23.8,0.2,24.0,20.7,84,0,1012.7,22.1,77.0,11.0,1012.5,219439.37,16.54166666666666,26.48333333333335,0.5250000000000005,34.125,19.841666666666654,67.54166666666667,8.5,1014.725,24.97083333333332,51.95833333333334,13.833333333333336,1012.925,-4.320416666666669,5037.613750000002
2023-01-30,17.9,21.7,0.0,33.0,18.3,71,9,1014.7,20.4,63.0,13.0,1012.2,222631.25,16.733333333333327,26.32083333333335,0.5250000000000005,33.958333333333336,19.837499999999988,67.79166666666667,8.25,1014.6,24.762499999999992,52.95833333333334,13.666666666666664,1012.8083333333334,-1.0370833333333358,5056.824166666668
