Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Speed of maximum wind gust (km/h),9am Temperature (°C),9am relative humidity (%),9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm wind speed (km/h),3pm MSL pressure (hPa),Demand (MW),Minimum temperature (°C)_MA_24,Maximum temperature (°C)_MA_24,Rainfall (mm)_MA_24,Speed of maximum wind gust (km/h)_MA_24,9am Temperature (°C)_MA_24,9am relative humidity (%)_MA_24,9am wind speed (km/h)_MA_24,9am MSL pressure (hPa)_MA_24,3pm Temperature (°C)_MA_24,3pm relative humidity (%)_MA_24,3pm wind speed (km/h)_MA_24,3pm MSL pressure (hPa)_MA_24,Minimum temperature (°C)_bins,Maximum temperature (°C)_bins,Rainfall (mm)_bins,Speed of maximum wind gust (km/h)_bins,9am Temperature (°C)_bins,9am relative humidity (%)_bins,9am wind speed (km/h)_bins,9am MSL pressure (hPa)_bins,3pm Temperature (°C)_bins,3pm relative humidity (%)_bins,3pm wind speed (km/h)_bins,3pm MSL pressure (hPa)_bins,Minimum temperature (°C)_MA_24_bins,Maximum temperature (°C)_MA_24_bins,Rainfall (mm)_MA_24_bins,Speed of maximum wind gust (km/h)_MA_24_bins,9am Temperature (°C)_MA_24_bins,9am relative humidity (%)_MA_24_bins,9am wind speed (km/h)_MA_24_bins,9am MSL pressure (hPa)_MA_24_bins,3pm Temperature (°C)_MA_24_bins,3pm relative humidity (%)_MA_24_bins,3pm wind speed (km/h)_MA_24_bins,3pm MSL pressure (hPa)_MA_24_bins,Demand_bins
2022-12-29,14.0,19.3,0.8,33.0,15.8,58,17,1019.0,18.4,55.0,13.0,1017.5,180768.77,13.049999999999997,23.308333333333334,1.7666666666666673,36.625,17.187499999999996,64.20833333333333,10.625,1014.6250000000001,21.10416666666666,52.25,14.666666666666666,1013.220833333333,4,2,1,3,3,4,11,8,3,3,7,7,1,1,3,7,1,0,4,3,1,3,4,4,2
2022-12-30,12.6,26.2,0.0,30.0,18.2,70,4,1015.9,25.0,52.0,11.0,1012.5,195514.31,13.016666666666666,23.566666666666666,1.716666666666667,36.583333333333336,17.299999999999997,64.16666666666667,10.083333333333334,1014.7833333333336,21.34583333333332,52.083333333333336,14.583333333333334,1013.3708333333329,3,4,0,3,5,6,2,7,6,3,6,5,1,1,3,7,2,0,4,4,1,3,4,4,3
2022-12-31,17.9,30.3,0.0,30.0,20.6,78,4,1014.3,27.4,54.0,11.0,1010.4,205749.25,13.216666666666663,24.025000000000002,1.7083333333333337,36.125,17.474999999999998,64.58333333333333,9.958333333333334,1015.191666666667,21.72083333333332,51.75,14.416666666666666,1013.6208333333329,6,6,0,3,7,8,2,6,7,3,6,4,1,2,3,6,2,1,3,4,1,3,4,4,4
2023-01-01,18.4,35.9,0.0,31.0,24.6,65,7,1010.8,35.3,34.0,11.0,1007.4,240293.3,13.591666666666663,24.854166666666668,1.6833333333333336,35.416666666666664,18.05,64.29166666666667,9.708333333333334,1015.066666666667,22.54583333333332,51.166666666666664,14.041666666666666,1013.295833333333,7,8,0,3,10,5,4,5,10,1,6,3,1,2,3,6,2,0,3,4,2,3,3,4,8
2023-01-03,15.2,21.1,0.2,37.0,17.4,68,11,1010.2,20.5,58.0,17.0,1008.9,196275.73,14.39583333333333,25.254166666666666,1.8583333333333336,36.125,18.766666666666666,64.625,10.166666666666666,1014.2708333333338,22.56249999999999,53.458333333333336,14.125,1012.720833333333,5,2,0,4,5,6,7,4,4,4,10,4,2,2,3,6,3,1,4,3,2,4,4,3,3
2023-01-04,15.0,18.7,0.0,52.0,15.6,62,13,1010.7,16.0,76.0,22.0,1011.2,193968.21,14.437499999999998,24.84166666666667,1.8583333333333336,36.041666666666664,18.554166666666667,65.0,10.166666666666666,1014.4916666666671,22.15833333333332,55.166666666666664,14.208333333333334,1013.1041666666664,5,2,0,7,3,5,8,5,2,6,13,5,2,2,3,6,3,1,4,3,2,5,4,4,3
2023-01-05,14.1,21.6,1.0,39.0,18.4,66,13,1014.9,20.8,65.0,15.0,1014.3,186610.74,14.545833333333333,25.02083333333334,1.1750000000000005,35.833333333333336,18.79583333333333,64.25,10.333333333333334,1015.0708333333338,22.35833333333332,55.416666666666664,13.916666666666666,1013.6124999999997,4,3,2,5,5,5,8,6,4,5,8,6,2,2,2,6,3,0,4,4,2,5,3,4,2
2023-01-06,13.3,25.6,0.0,37.0,18.4,65,15,1017.7,25.4,39.0,17.0,1015.0,181070.73,14.616666666666665,25.341666666666672,1.0416666666666672,35.541666666666664,18.97083333333333,64.625,10.333333333333334,1015.4458333333338,22.908333333333317,53.458333333333336,14.083333333333334,1013.9041666666664,4,4,0,4,5,5,10,7,6,1,10,6,2,2,1,6,3,1,4,4,2,4,4,5,2
2023-01-07,13.2,30.2,0.0,28.0,18.5,66,9,1015.1,28.8,34.0,11.0,1011.4,188176.06,14.791666666666664,25.941666666666677,0.7833333333333338,34.625,19.17083333333333,64.70833333333333,9.916666666666666,1015.5250000000004,23.59166666666665,51.666666666666664,13.75,1013.7333333333331,3,6,0,2,5,5,6,6,7,1,6,5,2,3,1,5,3,1,3,4,2,3,3,5,3
2023-01-08,14.9,31.9,0.0,24.0,20.3,67,4,1012.7,30.0,28.0,11.0,1010.7,208007.24,14.949999999999996,26.579166666666676,0.6416666666666672,34.0,19.4,65.08333333333333,9.625,1015.3458333333338,24.187499999999982,50.458333333333336,13.583333333333334,1013.4916666666664,5,6,0,2,7,6,2,5,8,0,6,4,2,3,0,4,3,1,3,4,3,2,3,4,5
